name,cp,appearances,avg_placement,best_placement,worst_placement,median_placement,placement_std,total_wins,total_losses,total_ties,win_rate,top8_finishes,top16_finishes,top32_finishes,top64_finishes,day2_appearances,day2_rate,top8_rate,top16_rate,placement_consistency
Dallas White,780,2,62.5,39,86,62.5,33.23401871576773,14,5,7,0.5384615384615384,0,0,0,1,2,1.0,0.0,0.0,0.02921071020912346
Ludwig Llanos,519,2,63.0,57,69,63.0,8.48528137423857,15,6,5,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.10542649822871226
frvr,690,1,63.0,63,63,63.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
VIANNEY LEROY,805,2,63.0,61,65,63.0,2.8284271247461903,16,8,2,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.2612038749637414
Frank Luciano,680,2,63.5,48,79,63.5,21.920310216782973,15,8,3,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.04362942693802497
Murilo Merc,707,1,64.0,64,64,64.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Francesco Pasquale Caterino,860,1,64.0,64,64,64.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
kamil98,882,1,64.0,64,64,64.0,0.0,7,2,4,0.5384615384615384,0,0,0,1,1,1.0,0.0,0.0,1.0
Marco C,1035,1,64.0,64,64,64.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Hector Adrian Pio Robles Sanchez,709,1,64.0,64,64,64.0,0.0,8,4,1,0.6153846153846154,0,0,0,1,1,1.0,0.0,0.0,1.0
Kaiwen Cabbabe,990,2,64.5,62,67,64.5,3.5355339059327378,16,8,2,0.6153846153846154,0,0,0,1,2,1.0,0.0,0.0,0.2204812092115424
Ethan Hegyi,779,1,65.0,65,65,65.0,0.0,7,2,4,0.5384615384615384,0,0,0,0,1,1.0,0.0,0.0,1.0
Víctor García Montes,860,1,65.0,65,65,65.0,0.0,7,2,4,0.5384615384615384,0,0,0,0,1,1.0,0.0,0.0,1.0
Austin Lee,560,2,65.0,50,80,65.0,21.213203435596427,15,7,4,0.5769230769230769,0,0,0,1,2,1.0,0.0,0.0,0.045018270457898496
