Rank,Player,Country Code,Country,Championship Points
238,Daniel Balbinot,BRA,Brazil,397
239,Rodrigo Ortiz,MEX,Mexico,390
240,Anderson Hugo,BRA,Brazil,390
241,Diego Leyva,PER,Peru,389
242,adriano kanazawa,BRA,Brazil,389
243,Diego Carrilo,MEX,Mexico,388
244,Caio Schneider,BRA,Brazil,386
245,Jeison Alejandro Rico Duran,COL,Colombia,385
246,Manuel Pinzón,COL,Colombia,385
247,Luciano Reis,BRA,Brazil,384
248,Fernando Karolys,ECU,Ecuador,384
249,francisco javier rocha estrada,MEX,Mexico,382
250,Manuel Urzúa,CHL,Chile,381
251,Julio Curiel,MEX,Mexico,380
252,Jonathan Mena,MEX,Mexico,380
253,Alex Oliveira,BRA,Brazil,380
254,José Lux,GTM,Guatemala,380
255,Claudio Ferla,BRA,Brazil,379
256,Raúl Rodríguez,MEX,Mexico,379
257,Thalys Augusto Cardoso Rosa,BRA,Brazil,377
258,Ricardo Robles,CHL,Chile,374
259,Matias Ezequiel V,ARG,Argentina,374
260,Thiago Burda Mayer,BRA,Brazil,374
261,Mauricio Hernández,URY,Uruguay,374
262,Arthur Mesquita,BRA,Brazil,372
263,Diego Garcia,MEX,Mexico,370
264,Alejandro Herrera,COL,Colombia,370
265,Roberto Rueda,COL,Colombia,368
266,Raphael Soares da Costa Gonçalves,BRA,Brazil,367
267,Vinicius Augusto Gomes,BRA,Brazil,367
268,Jose V,CHL,Chile,367
269,Luis Vargas,MEX,Mexico,367
270,Bruno Barros,BRA,Brazil,367
271,Joaquín Orrego,PER,Peru,365
272,William Almeida,BRA,Brazil,364
273,Tiago Marins Amaral,BRA,Brazil,364
274,Arturo Ortega,MEX,Mexico,363
275,FRANCISCO JAVIER HERNÁNDEZ SANTOS,MEX,Mexico,363
276,Brian Gabriel Torres Melendez,MEX,Mexico,362
277,Gabriel Cordero,CRI,Costa Rica,362
278,AldoSpirit,MEX,Mexico,361
279,Esteban Salazar,MEX,Mexico,360
280,Lautaro Soler,ARG,Argentina,360
281,Fernando Cornelio,MEX,Mexico,360
282,José Iuri Barbosa de Brito,BRA,Brazil,360
283,Samuel Rocha,BRA,Brazil,360
284,Fernando Elias Vega Marquez,MEX,Mexico,360
285,Chenxi Jin,CHL,Chile,360
286,RivalX92,MEX,Mexico,359
287,Leopoldo Briones flores,MEX,Mexico,359
288,joshua sanchez,CRI,Costa Rica,357
289,Álvaro Cristiano M,BRA,Brazil,357
290,Jair Rodrigo Farias,BRA,Brazil,357
291,Emiliano Zapata,MEX,Mexico,356
292,Guilherme Cazzonato,BRA,Brazil,356
293,Facundo Figoli,ARG,Argentina,355
294,Samir Acevedo,MEX,Mexico,354
295,Gabriel Land,BRA,Brazil,354
296,Pablo Jesús L,MEX,Mexico,354
297,Juan Pomoli,URY,Uruguay,354
298,Luiza Back,BRA,Brazil,353
299,Luis Enrique Vázquez Ordaz,MEX,Mexico,352
300,Adriano Melo,BRA,Brazil,350
301,luis angel vazquez ruiz,MEX,Mexico,350
302,eliseo vazquez,MEX,Mexico,349
303,pedro daher,BRA,Brazil,347
304,Eric Tortoza,BRA,Brazil,347
305,Kristyan Patrick,BRA,Brazil,347
306,Raul Soberano,MEX,Mexico,346
307,Carlos Lobo,MEX,Mexico,345
308,Sebastián Aspe,CHL,Chile,345
309,Daniel Abramovici,BRA,Brazil,345
310,Felipe Solis,CHL,Chile,345
311,Raul Avila Jr.,MEX,Mexico,345
312,thiago giovannetti marques ricardo,BRA,Brazil,345
313,Omar alejandro Suarez gurrola,MEX,Mexico,345
314,Diego Ruiz Orta,MEX,Mexico,344
315,Nicolas Pino Contreras,CHL,Chile,344
316,Jose Merced,MEX,Mexico,343
317,claudio luna,CHL,Chile,342
318,Luccas Teves,BRA,Brazil,342
319,Niko Mendoza,MEX,Mexico,342
320,Ricardo Vilela,BRA,Brazil,342
321,Federico Gallo,ARG,Argentina,341
322,RobertBaag,MEX,Mexico,340
323,Matías candia,CHL,Chile,340
324,ADRIAN Chávez monteverde,ECU,Ecuador,340
325,Angel Jimenez,MEX,Mexico,340
325,Ricardo Felipe Hille,BRA,Brazil,340
327,Guilherme Bonow Oliveira,BRA,Brazil,339
328,Luis Guillermo Terreros Rosales,MEX,Mexico,339
329,FILIPE SANTOS,BRA,Brazil,338
330,Fernando Dórame Ruiz,MEX,Mexico,337
331,Guillermo Villicaña Santillan,MEX,Mexico,337
332,Diego Souza,BRA,Brazil,336
333,Ulises Pereira,CHL,Chile,336
334,Maria Cristina A,BRA,Brazil,335
335,Jefferson Bandeira,BRA,Brazil,335
336,Jessen Alejandro Mercado Mejía,MEX,Mexico,334
337,Juan-D-nk,CHL,Chile,334
338,victor rojo,CHL,Chile,334
339,Cristopher Giler Lepe,CHL,Chile,334
340,Christhian Ehunis Lopez Mayoral,MEX,Mexico,334
341,Carlos Lopez,MEX,Mexico,333
342,Mauricio Serrano Ramirez,MEX,Mexico,332
343,Jesús Cepeda,MEX,Mexico,332
344,DIEGO SAKATA,BRA,Brazil,331
345,Erasmo Rodriguez,MEX,Mexico,330
346,Leandro Espíndola,ARG,Argentina,330
347,Jonathan Eduardo Martinez Aguilar,MEX,Mexico,330
348,Adolfo Lagos,CHL,Chile,330
349,Tiago Gomes,BRA,Brazil,329
350,Daniel R,CHL,Chile,329
351,Sergio Serafim Da Silva Junior,BRA,Brazil,327
352,Maurício Pereira,BRA,Brazil,327
353,aprosch,BRA,Brazil,326
354,Matheus Cavalcanti,BRA,Brazil,326
355,jonathan steven torres casallas,COL,Colombia,326
356,Gabriel Estévez,MEX,Mexico,326
357,Guilherme Toledo,BRA,Brazil,325
358,Jorge Da Silva Vieira,BRA,Brazil,325
359,Gabriel Eduardo Reiter,BRA,Brazil,324
360,Joaquin Herrero,ARG,Argentina,323
361,João Alcim Neves,BRA,Brazil,322
362,shiva gobin,TTO,Trinidad and Tobago,322
363,Enrique Osvaldo Pinto Herrera,BOL,Bolivia,322
364,Oscar Godoy González,MEX,Mexico,322
365,André Porto,BRA,Brazil,322
366,Alexis Vazquez,MEX,Mexico,322
367,Nicolas Piquerez,URY,Uruguay,321
368,David Augusto Perez Concha,MEX,Mexico,321
369,Miguel Ruiz,MEX,Mexico,320
370,Carlos Emilio Sánchez Zilli,MEX,Mexico,320
371,Sebastian Quilape,CHL,Chile,320
372,Rolando Velazquez,MEX,Mexico,320
373,paulo anderson lopes de souza,BRA,Brazil,320
374,ShoVasquez,CHL,Chile,320
375,Rafael Breanza,BRA,Brazil,320
376,Lucas Reis,BRA,Brazil,319
377,Felipe González,COL,Colombia,318
378,Edgar De la peña,MEX,Mexico,317
379,Luiz Paulo Borges,BRA,Brazil,317
380,Luis Gerardo Oliva,MEX,Mexico,317
381,Yuri Bezerra,BRA,Brazil,317
382,Jose Trinidad Lule Hurtado,MEX,Mexico,316
383,Carlos Alexis González Ramírez,MEX,Mexico,316
384,Angel daniel Cardenas eduardo,PER,Peru,316
385,Nicolas Volpi,BRA,Brazil,316
386,Filipe Passos,BRA,Brazil,316
387,Henrique Carvalho,BRA,Brazil,315
388,Sebastián Lozano Silva,CHL,Chile,315
389,Marioni De la Cruz,PER,Peru,314
390,Diego Coronado,MEX,Mexico,314
391,Christopher Melgar,ARG,Argentina,312
392,renzo angulo,PER,Peru,312
393,El_Galo,CHL,Chile,312
394,CECG,BRA,Brazil,312
395,Daniel Ortega,MEX,Mexico,312
396,ycaro della libera,BRA,Brazil,312
397,enzo vetorazzo,BRA,Brazil,312
398,David Galvez,CHL,Chile,311
399,Antonio Cardoso,BRA,Brazil,311
400,Gustavo Serafim,BRA,Brazil,310
401,Henrique Bonenti,BRA,Brazil,310
402,Sergio Nuñez,MEX,Mexico,309
403,Leonardo Fernandez da Silva,ARG,Argentina,308
404,Patrick Müller,BRA,Brazil,307
405,Bruno Rocha,BRA,Brazil,307
406,David Alvarado,MEX,Mexico,307
406,Jeyson Olivera,COL,Colombia,307
408,Ian Anderson Fukuda,BRA,Brazil,307
409,Marco Antonio,CHL,Chile,306
410,diego barbosa,BRA,Brazil,306
411,Francisco Pinasco,CHL,Chile,306
412,Rodrigo Carneiro,PER,Peru,306
413,LUCAS FONTENELE,BRA,Brazil,306
414,Alejo Fittipaldi,ARG,Argentina,306
415,Adrián Alejandro M,MEX,Mexico,305
416,Benjamin Acosta,CHL,Chile,305
416,Rodrigo Gomes,BRA,Brazil,305
418,Erick Castillo,MEX,Mexico,304
419,Joaquín Abente,PRY,Paraguay,304
420,Tulio Freitas,BRA,Brazil,304
421,Jose Eduardo zambon junior,BRA,Brazil,304
422,nuno farias,BRA,Brazil,304
423,Candido Daniel Ferrer Sandoval,MEX,Mexico,304
424,luis banon,PER,Peru,303
425,vicente rodriguez,CHL,Chile,303
426,paolo aguilera,CHL,Chile,303
427,Guillermo Muñoz Tejo,CHL,Chile,302
428,VitorMunhak,BRA,Brazil,302
429,Jose Paez,CHL,Chile,302
430,Osvaldo Nicolas Herrera Silva,CHL,Chile,302
431,Erick Geronimo,MEX,Mexico,302
432,Luciano Bautista,CHL,Chile,301
433,Diego Arcos,CHL,Chile,301
434,Carlos Vasquez,MEX,Mexico,300
435,Pedro Uc,MEX,Mexico,300
436,Diego Romero,CHL,Chile,300
437,Sveshtarov,MEX,Mexico,300
438,Carlos Eduardo T,MEX,Mexico,300
439,Genaro jean paul M,PER,Peru,299
440,Rogelio Espinoza,MEX,Mexico,299
441,Clayton Cardoso,BRA,Brazil,299
442,thujuezdelflow,CHL,Chile,298
443,Adrian C,MEX,Mexico,298
444,Carlos Jose Jimenez Penzo,DOM,Dominican Republic,298
445,Claudio Tapia,CHL,Chile,298
446,Otaner Demarchi,BRA,Brazil,297
447,ArticMankey,MEX,Mexico,297
448,DANIEL CAJAHUARINGA RIVERA,PER,Peru,297
449,Marcelo Guarita,BRA,Brazil,297
450,kevin thomas silva rios,CHL,Chile,297
451,Xavier Viega,CHL,Chile,296
452,Jorge Enrique Osorio Rivera,MEX,Mexico,296
453,Rodrigo Segovia,MEX,Mexico,296
454,Gabriel Neves,BRA,Brazil,296
455,Gabriel Monzani Tavares,BRA,Brazil,295
456,Julian Riveros,COL,Colombia,295
457,Nathaniel Soriano,ECU,Ecuador,295
458,Felipe Rios,CHL,Chile,294
459,Francisco Bernard,CRI,Costa Rica,294
460,Guillermo Barrios,MEX,Mexico,294
461,jorge rivero daca,ARG,Argentina,294
462,Geovany Ramirez,MEX,Mexico,292
463,Vinicius Henrique,BRA,Brazil,292
464,Júnio Gonçalves,BRA,Brazil,292
465,Erick Laurentino Ramirez,MEX,Mexico,292
466,Carlos Cardenas,MEX,Mexico,291
467,Esteban Fernández,CHL,Chile,291
468,Pedro Henrique Neves Raupp,BRA,Brazil,291
469,Diego alberto Amezquita ayala,MEX,Mexico,290
470,Pablo Leiva,CHL,Chile,290
471,Ricardo Manuel Gajardo Laubrín,CHL,Chile,290
472,christian aguirre,MEX,Mexico,290
473,Micchelle Carvallo,CHL,Chile,289
474,MiniDipa,SLV,El Salvador,289
475,Nataniel Lovagnini,ARG,Argentina,289
476,tomas blei,ARG,Argentina,289
476,Wesly Dias Ribeiro,BRA,Brazil,289
478,Treminho,BRA,Brazil,289
479,Carlos Andres Rojas Ramos,COL,Colombia,288
480,Walter Jiménez,CHL,Chile,288
481,Carlos Cruz,BRA,Brazil,288
482,David Gomez Hernandez,MEX,Mexico,287
483,Carlos Nunes,BRA,Brazil,286
484,Gester Sanjur,PAN,Panama,286
485,Milton4729,MEX,Mexico,285
486,Cristian G,CHL,Chile,285
487,Pyromelo,CRI,Costa Rica,284
488,Ricardo Nieto Hernandez,MEX,Mexico,284
489,Fragos0,BRA,Brazil,284
490,samuel ramos,BRA,Brazil,284
491,renzo zambrano,PER,Peru,283
492,Alberto Cortes,MEX,Mexico,282
493,Alexis Alfredo Lopez Gordillo,MEX,Mexico,282
494,Felipe Vasquez,CHL,Chile,282
495,Victor Lopez,MEX,Mexico,282
496,Seren_Up,PER,Peru,282
497,Sebastian Carvajal Campos,CHL,Chile,280
498,Gustavo Vinícius Machado,BRA,Brazil,280
499,Bruno Garcia,BRA,Brazil,280
500,Willy Saavedra,PER,Peru,280
